x2_protein_mg_ml,x1_il_wt_pct_min,x1_il_wt_pct_max,n_grid_points_in_region,criterion
4.040404040404041,4.040404040404041,17.171717171717173,14,predicted_CI >= 0.1
5.050505050505051,4.040404040404041,17.171717171717173,14,predicted_CI >= 0.1
6.0606060606060606,4.040404040404041,17.171717171717173,14,predicted_CI >= 0.1
7.070707070707071,4.040404040404041,17.171717171717173,14,predicted_CI >= 0.1
8.080808080808081,4.040404040404041,17.171717171717173,14,predicted_CI >= 0.1
9.090909090909092,4.040404040404041,17.171717171717173,14,predicted_CI >= 0.1
10.101010101010102,4.040404040404041,17.171717171717173,14,predicted_CI >= 0.1
11.111111111111112,4.040404040404041,17.171717171717173,14,predicted_CI >= 0.1
12.121212121212121,4.040404040404041,17.171717171717173,14,predicted_CI >= 0.1
13.131313131313131,4.040404040404041,17.171717171717173,14,predicted_CI >= 0.1
14.141414141414142,4.040404040404041,17.171717171717173,14,predicted_CI >= 0.1
15.151515151515152,4.040404040404041,34.343434343434346,31,predicted_CI >= 0.1
16.161616161616163,4.040404040404041,34.343434343434346,31,predicted_CI >= 0.1
17.171717171717173,4.040404040404041,34.343434343434346,31,predicted_CI >= 0.1
18.181818181818183,4.040404040404041,34.343434343434346,31,predicted_CI >= 0.1
19.191919191919194,4.040404040404041,34.343434343434346,31,predicted_CI >= 0.1
20.202020202020204,4.040404040404041,34.343434343434346,31,predicted_CI >= 0.1
21.212121212121215,4.040404040404041,34.343434343434346,31,predicted_CI >= 0.1
22.222222222222225,4.040404040404041,34.343434343434346,31,predicted_CI >= 0.1
23.232323232323235,4.040404040404041,34.343434343434346,31,predicted_CI >= 0.1
24.242424242424242,4.040404040404041,34.343434343434346,31,predicted_CI >= 0.1
25.252525252525253,4.040404040404041,34.343434343434346,31,predicted_CI >= 0.1
26.262626262626263,4.040404040404041,34.343434343434346,31,predicted_CI >= 0.1
27.272727272727273,4.040404040404041,34.343434343434346,31,predicted_CI >= 0.1
28.282828282828284,4.040404040404041,34.343434343434346,31,predicted_CI >= 0.1
29.292929292929294,4.040404040404041,34.343434343434346,31,predicted_CI >= 0.1
30.303030303030305,4.040404040404041,34.343434343434346,31,predicted_CI >= 0.1
31.313131313131315,4.040404040404041,34.343434343434346,31,predicted_CI >= 0.1
32.323232323232325,4.040404040404041,34.343434343434346,31,predicted_CI >= 0.1
33.333333333333336,4.040404040404041,34.343434343434346,31,predicted_CI >= 0.1
34.343434343434346,4.040404040404041,34.343434343434346,31,predicted_CI >= 0.1
35.35353535353536,4.040404040404041,34.343434343434346,31,predicted_CI >= 0.1
36.36363636363637,4.040404040404041,34.343434343434346,31,predicted_CI >= 0.1
37.37373737373738,4.040404040404041,34.343434343434346,31,predicted_CI >= 0.1
38.38383838383839,4.040404040404041,34.343434343434346,31,predicted_CI >= 0.1
39.3939393939394,4.040404040404041,34.343434343434346,22,predicted_CI >= 0.1
40.40404040404041,4.040404040404041,34.343434343434346,22,predicted_CI >= 0.1
41.41414141414142,4.040404040404041,34.343434343434346,22,predicted_CI >= 0.1
42.42424242424243,4.040404040404041,34.343434343434346,22,predicted_CI >= 0.1
43.43434343434344,4.040404040404041,34.343434343434346,22,predicted_CI >= 0.1
44.44444444444445,4.040404040404041,34.343434343434346,22,predicted_CI >= 0.1
45.45454545454546,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
46.46464646464647,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
47.47474747474748,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
48.484848484848484,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
49.494949494949495,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
50.505050505050505,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
51.515151515151516,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
52.525252525252526,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
53.535353535353536,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
54.54545454545455,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
55.55555555555556,1.0101010101010102,34.343434343434346,34,predicted_CI >= 0.1
56.56565656565657,1.0101010101010102,34.343434343434346,34,predicted_CI >= 0.1
57.57575757575758,1.0101010101010102,34.343434343434346,34,predicted_CI >= 0.1
58.58585858585859,1.0101010101010102,34.343434343434346,34,predicted_CI >= 0.1
59.5959595959596,1.0101010101010102,34.343434343434346,34,predicted_CI >= 0.1
60.60606060606061,1.0101010101010102,34.343434343434346,34,predicted_CI >= 0.1
61.61616161616162,1.0101010101010102,34.343434343434346,34,predicted_CI >= 0.1
62.62626262626263,1.0101010101010102,34.343434343434346,34,predicted_CI >= 0.1
63.63636363636364,1.0101010101010102,34.343434343434346,34,predicted_CI >= 0.1
64.64646464646465,1.0101010101010102,34.343434343434346,34,predicted_CI >= 0.1
65.65656565656566,1.0101010101010102,34.343434343434346,34,predicted_CI >= 0.1
66.66666666666667,1.0101010101010102,34.343434343434346,34,predicted_CI >= 0.1
67.67676767676768,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
68.68686868686869,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
69.6969696969697,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
70.70707070707071,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
71.71717171717172,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
72.72727272727273,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
73.73737373737374,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
74.74747474747475,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
75.75757575757576,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
76.76767676767678,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
77.77777777777779,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
78.7878787878788,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
79.7979797979798,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
80.80808080808082,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
81.81818181818183,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
82.82828282828284,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
83.83838383838385,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
84.84848484848486,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
85.85858585858587,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
86.86868686868688,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
87.87878787878789,1.0101010101010102,17.171717171717173,17,predicted_CI >= 0.1
88.8888888888889,1.0101010101010102,17.171717171717173,17,predicted_CI >= 0.1
89.89898989898991,1.0101010101010102,17.171717171717173,17,predicted_CI >= 0.1
90.90909090909092,1.0101010101010102,17.171717171717173,17,predicted_CI >= 0.1
91.91919191919193,1.0101010101010102,17.171717171717173,17,predicted_CI >= 0.1
92.92929292929294,1.0101010101010102,17.171717171717173,17,predicted_CI >= 0.1
93.93939393939395,1.0101010101010102,17.171717171717173,17,predicted_CI >= 0.1
94.94949494949496,1.0101010101010102,17.171717171717173,17,predicted_CI >= 0.1
95.95959595959597,1.0101010101010102,17.171717171717173,17,predicted_CI >= 0.1
96.96969696969697,1.0101010101010102,17.171717171717173,17,predicted_CI >= 0.1
97.97979797979798,1.0101010101010102,17.171717171717173,17,predicted_CI >= 0.1
98.98989898989899,1.0101010101010102,17.171717171717173,17,predicted_CI >= 0.1
100.0,1.0101010101010102,17.171717171717173,17,predicted_CI >= 0.1

